Nike;Nike;109 CHF;https://www.farfetch.com//ch/shopping/men/nike-x-lebron-james-air-force-1-low-four-horsemen-sneakers-item-20227291.aspx?storeid=14912
Nike;Air Max 1 NH &quot;Treeline&quot; sneakers;124 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-max-1-nh-treeline-sneakers-item-18234875.aspx?storeid=14912
Off-White;Nike;124 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-max-1-nh-treeline-sneakers-item-18234875.aspx?storeid=14912
Off-White;Low Vulcanized leather sneakers;400 CHF;https://www.farfetch.com//ch/shopping/men/off-white-low-vulcanized-leather-sneakers-item-20305582.aspx?storeid=14367
Off-White;Off-White;400 CHF;https://www.farfetch.com//ch/shopping/men/off-white-low-vulcanized-leather-sneakers-item-20305582.aspx?storeid=14367
Off-White;Low Vulcanized sneakers;400 CHF;https://www.farfetch.com//ch/shopping/men/off-white-low-vulcanized-sneakers-item-21448184.aspx?storeid=14367
Billionaire;Off-White;400 CHF;https://www.farfetch.com//ch/shopping/men/off-white-low-vulcanized-sneakers-item-21448184.aspx?storeid=14367
Billionaire;Runner logo-plaque low-top sneakers;810 CHF;https://www.farfetch.com//ch/shopping/men/billionaire-runner-logo-plaque-low-top-sneakers-item-20183274.aspx?storeid=11539
Ea7 Emporio Armani;Billionaire;810 CHF;https://www.farfetch.com//ch/shopping/men/billionaire-runner-logo-plaque-low-top-sneakers-item-20183274.aspx?storeid=11539
Ea7 Emporio Armani;logo-print low-top sneakers;182 CHF;https://www.farfetch.com//ch/shopping/men/ea7-emporio-armani-logo-print-low-top-sneakers-item-17367428.aspx?storeid=11167
Off-White;Ea7 Emporio Armani;182 CHF;https://www.farfetch.com//ch/shopping/men/ea7-emporio-armani-logo-print-low-top-sneakers-item-17367428.aspx?storeid=11167
Off-White;Off-Court 3.0 leather sneakers;560 CHF;https://www.farfetch.com//ch/shopping/men/off-white-off-court-30-leather-sneakers-item-20984294.aspx?storeid=12302
adidas Yeezy;Off-White;560 CHF;https://www.farfetch.com//ch/shopping/men/off-white-off-court-30-leather-sneakers-item-20984294.aspx?storeid=12302
adidas Yeezy;YEEZY Boost 700 V2 &quot;Cream&quot; sneakers;237 CHF;https://www.farfetch.com//ch/shopping/men/adidas-yeezy-yeezy-boost-700-v2-cream-sneakers-item-16557623.aspx?storeid=11218
Jordan;adidas Yeezy;237 CHF;https://www.farfetch.com//ch/shopping/men/adidas-yeezy-yeezy-boost-700-v2-cream-sneakers-item-16557623.aspx?storeid=11218
Jordan;Air Jordan 1 Mid &quot;Gym Red/Black Toe&quot; sneakers;113 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-gym-redblack-toe-sneakers-item-20877362.aspx?storeid=14376
adidas;Jordan;113 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-1-mid-gym-redblack-toe-sneakers-item-20877362.aspx?storeid=14376
adidas;Handball Spezial low-top sneakers;112 CHF;https://www.farfetch.com//ch/shopping/men/adidas-handball-spezial-low-top-sneakers-item-20014992.aspx?storeid=9006
New Balance;adidas;112 CHF;https://www.farfetch.com//ch/shopping/men/adidas-handball-spezial-low-top-sneakers-item-20014992.aspx?storeid=9006
New Balance;M1906 RCF panelled lace-up sneakers;162 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-m1906-rcf-panelled-lace-up-sneakers-item-21981771.aspx?storeid=9053
On Running;New Balance;162 CHF;https://www.farfetch.com//ch/shopping/men/new-balance-m1906-rcf-panelled-lace-up-sneakers-item-21981771.aspx?storeid=9053
On Running;Cloudmonster low-top sneakers;188 CHF;https://www.farfetch.com//ch/shopping/men/on-running-cloudmonster-low-top-sneakers-item-20107008.aspx?storeid=14909
Nike;On Running;188 CHF;https://www.farfetch.com//ch/shopping/men/on-running-cloudmonster-low-top-sneakers-item-20107008.aspx?storeid=14909
Nike;Dunk Low &quot;Tartan Plaid&quot; sneakers;120 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-tartan-plaid-sneakers-item-19619896.aspx?storeid=11218
Balenciaga;Nike;120 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-tartan-plaid-sneakers-item-19619896.aspx?storeid=11218
Balenciaga;x Crocs platform boots;910 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-x-crocs-platform-boots-item-18367706.aspx?storeid=13539
Giuseppe Zanotti;Balenciaga;910 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-x-crocs-platform-boots-item-18367706.aspx?storeid=13539
Giuseppe Zanotti;Frankie low-top sneakers;205 CHF;https://www.farfetch.com//ch/shopping/men/giuseppe-zanotti-frankie-low-top-sneakers-item-17438907.aspx?storeid=11909
Reebok;Giuseppe Zanotti;205 CHF;https://www.farfetch.com//ch/shopping/men/giuseppe-zanotti-frankie-low-top-sneakers-item-17438907.aspx?storeid=11909
Reebok;Club C 85 leather sneakers;120 CHF;https://www.farfetch.com//ch/shopping/men/reebok-club-c-85-leather-sneakers-item-20139106.aspx?storeid=15073
Moon Boot;Reebok;120 CHF;https://www.farfetch.com//ch/shopping/men/reebok-club-c-85-leather-sneakers-item-20139106.aspx?storeid=15073
Moon Boot;Icon Low snow boots;220 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-icon-low-snow-boots-item-19302316.aspx?storeid=13344
Gucci;Moon Boot;220 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-icon-low-snow-boots-item-19302316.aspx?storeid=13344
