Comme Des Garçons Play x Converse;Moon Boot;275 CHF;https://www.farfetch.com//ch/shopping/men/moon-boot-mtrack-polar-boots-item-18516699.aspx?storeid=12264
Nike;Axel Arigato;225 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-clean-90-bird-sneakers-item-16797095.aspx?storeid=14604
Philipp Plein;Nike;293 CHF;https://www.farfetch.com//ch/shopping/men/nike-x-tightbooth-sb-dunk-low-sneakers-item-21016265.aspx?storeid=11218
Autry;Philipp Plein;294 CHF;https://www.farfetch.com//ch/shopping/men/philipp-plein-runner-hexagon-low-top-sneakers-item-19295184.aspx?storeid=11845
Dolce &amp; Gabbana;Autry;173 CHF;https://www.farfetch.com//ch/shopping/men/autry-medalist-low-top-leather-sneakers-item-20189880.aspx?storeid=9948
Lanvin;Dolce &amp; Gabbana;494 CHF;https://www.farfetch.com//ch/shopping/men/dolce-gabbana-logo-patch-low-top-sneakers-item-20045155.aspx?storeid=9462
Jordan;Lanvin;385 CHF;https://www.farfetch.com//ch/shopping/men/lanvin-dbb1-patent-toe-sneakers-item-15623747.aspx?storeid=12589
Nike;Jordan;259 CHF;https://www.farfetch.com//ch/shopping/men/jordan-air-jordan-4-retro-cool-grey-sneakers-item-14352047.aspx?storeid=11218
UGG;Nike;244 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-force-1-mid-off-white-sheed-sneakers-item-21014110.aspx?storeid=14376
Nike;UGG;160 CHF;https://www.farfetch.com//ch/shopping/men/ugg-neumel-lace-up-desert-boots-item-18834300.aspx?storeid=9462
Giuseppe Zanotti;Nike;165 CHF;https://www.farfetch.com//ch/shopping/men/nike-dunk-low-retro-prm-valentines-day-2023-sneakers-item-19759190.aspx?storeid=14912
Axel Arigato;Axel Arigato;216 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-genesis-vintage-runner-sneakers-item-17765873.aspx?storeid=13537
Axel Arigato;Axel Arigato;285 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-rush-low-top-sneakers-item-20732032.aspx?storeid=13537
Alexander McQueen;Axel Arigato;335 CHF;https://www.farfetch.com//ch/shopping/men/axel-arigato-area-haze-low-top-leather-sneakers-item-20403322.aspx?storeid=13537
Nike;Alexander McQueen;553 CHF;https://www.farfetch.com//ch/shopping/men/alexander-mcqueen-oversized-low-top-sneakers-item-15294134.aspx?storeid=13539
Balenciaga;Nike;83 CHF;https://www.farfetch.com//ch/shopping/men/nike-air-max-1-premium-coral-stardust-sneakers-item-20513743.aspx?storeid=14912
Premiata;Balenciaga;930 CHF;https://www.farfetch.com//ch/shopping/men/balenciaga-destroy-upper-chunky-sneakers-item-17731471.aspx?storeid=13539
VEJA;Premiata;241 CHF;https://www.farfetch.com//ch/shopping/men/premiata-lander-low-top-sneakers-item-20846904.aspx?storeid=14806
Dsquared2;VEJA;123 CHF;https://www.farfetch.com//ch/shopping/men/veja-rio-branco-low-top-sneakers-item-21354880.aspx?storeid=9514
