Nike;Jordan 11 Retro;Jordan 11 Retro DMP Gratitude (2023);14.11.2023;194 CHF;https://stockx.com/air-jordan-11-retro-dmp-defining-moments-2023
Nike;Nike Kobe 6 Protro;Nike Kobe 6 Protro Reverse Grinch;16.12.2023;369 CHF;https://stockx.com/nike-kobe-6-protro-reverse-grinch
UGG;UGG Tasman Slipper;UGG Tasman Slipper Palace Chestnut;01.12.2023;286 CHF;https://stockx.com/ugg-tasman-slipper-palace-chestnut
Nike;Nike Air More Uptempo 96;Nike Air More Uptempo 96 Action Grape;27.08.2022;89 CHF;https://stockx.com/nike-air-more-uptempo-action-grape
Lanvin;Lanvin Leather Curb;Lanvin Leather Curb White Ivory;01.07.2021;418 CHF;https://stockx.com/lanvin-leather-curb-white-ivory
OFF-WHITE;OFF-WHITE Out Of Office OOO Low Tops;OFF-WHITE Out Of Office OOO Low Tops For Walking White Black;01.06.2021;317 CHF;https://stockx.com/off-white-ooo-low-tops-for-walking-white-black-ss21
Nike;Nike Dunk Low;Nike Dunk Low Photon Dust (Women's);19.05.2021;86 CHF;https://stockx.com/nike-dunk-low-photon-dust-w
adidas;adidas Yeezy Slide;adidas Yeezy Slide Slate Grey;18.08.2023;72 CHF;https://stockx.com/adidas-yeezy-slide-slate-grey
UGG;UGG Tasman Slipper;UGG Tasman Slipper Chestnut (Women's);01.11.2021;122 CHF;https://stockx.com/ugg-tasman-slipper-chestnut-w
Nike;Nike Dunk Low;Nike Dunk Low Grey Fog;21.09.2021;86 CHF;https://stockx.com/nike-dunk-low-grey-fog
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Chestnut (Women's);01.11.2021;97 CHF;https://stockx.com/ugg-classic-ultra-mini-chestnut-w
adidas;adidas Campus 00s;adidas Campus 00s Core Black;17.02.2023;100 CHF;https://stockx.com/adidas-campus-00s-core-black
Nike;Nike Dunk Low Retro;Nike Dunk Low Retro White Black Panda;10.03.2021;93 CHF;https://stockx.com/nike-dunk-low-retro-white-black-2021
UGG;UGG Tazz Slipper;UGG Tazz Slipper Chestnut (Women's);01.11.2021;138 CHF;https://stockx.com/ugg-tazz-slipper-chestnut-w
