UGG;UGG Tasman Slipper;UGG Tasman Slipper Palace Chestnut;2023-12-01;286 CHF;https://stockx.com/ugg-tasman-slipper-palace-chestnut
UGG;UGG Tasman Slipper;UGG Tasman Slipper Chestnut (Women's);2021-11-01;122 CHF;https://stockx.com/ugg-tasman-slipper-chestnut-w
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Chestnut (Women's);2021-11-01;96 CHF;https://stockx.com/ugg-classic-ultra-mini-chestnut-w
UGG;UGG Tazz Slipper;UGG Tazz Slipper Chestnut (Women's);2021-11-01;138 CHF;https://stockx.com/ugg-tazz-slipper-chestnut-w
Crocs;UGG Tasman Slipper;UGG Tasman Slipper Chestnut;2020-03-14;90 CHF;https://stockx.com/ugg-tasman-slipper-chestnut
UGG;Crocs Classic Clog;Crocs Classic Clog Lightning McQueen;2021-04-27;97 CHF;https://stockx.com/crocs-classic-clog-lightning-mcqueen
UGG;UGG Tasman Slipper;UGG Tasman Slipper Black (Women's);2021-11-01;117 CHF;https://stockx.com/ugg-tasman-slipper-black-w
UGG;UGG Tasman II Slipper;UGG Tasman II Slipper Chesnut (Kids);2021-01-01;72 CHF;https://stockx.com/ugg-tasman-ii-slipper-chesnut-kids
Crocs;UGG Tasman Slipper;UGG Tasman Slipper Black;2020-03-14;101 CHF;https://stockx.com/ugg-tasman-slipper-black
UGG;Crocs Classic Clog;Crocs Classic Clog Mater;2023-10-17;70 CHF;https://stockx.com/crocs-classic-clog-mater
UGG;UGG Disquette Slipper;UGG Disquette Slipper Chestnut (Women's);2021-01-01;122 CHF;https://stockx.com/ugg-disquette-slipper-chestnut-w
UGG;UGG Classic Ultra Mini Platform Boot;UGG Classic Ultra Mini Platform Boot Chestnut (Women's);2022-10-10;140 CHF;https://stockx.com/ugg-classic-ultra-mini-platform-chestnut-w
UGG;UGG Tazz Slipper;UGG Tazz Slipper Sand (Women's);2023-11-24;163 CHF;https://stockx.com/ugg-tazz-slipper-sand-womens
UGG;UGG Tasman Slipper;UGG Tasman Slipper Mustard Seed (Women's);2023-09-01;133 CHF;https://stockx.com/ugg-tasman-slipper-mustard-seed-womens
UGG;UGG Tasman II Slipper;UGG Tasman II Slipper Black (Kids);2021-01-01;81 CHF;https://stockx.com/ugg-tasman-ii-slipper-black-kids
UGG;UGG Tazz Slipper;UGG Tazz Slipper Heritage Braid Natural (Women's);2023-09-30;176 CHF;https://stockx.com/ugg-tazz-slipper-heritage-braid-natural-womens
Crocs;UGG Tazz Slipper;UGG Tazz Slipper Mustard Seed (Women's);2023-09-01;167 CHF;https://stockx.com/ugg-tazz-slipper-mustard-seed-womens
UGG;Crocs Classic Clog;Crocs Classic Clog DreamWorks Shrek;2023-09-13;86 CHF;https://stockx.com/crocs-classic-clog-dreamworks-shrek
Birkenstock;UGG Tazz Slipper;UGG Tazz Slipper Chestnut (Kids);2023-01-25;109 CHF;https://stockx.com/ugg-tazz-slipper-chestnut-kids
UGG;Birkenstock Boston Soft Footbed;Birkenstock Boston Soft Footbed Suede Taupe;2021-08-31;130 CHF;https://stockx.com/birkenstock-boston-soft-footbed-suede-taupe
UGG;UGG Tazz Slipper;UGG Tazz Slipper Black (Women's);2021-11-01;131 CHF;https://stockx.com/ugg-tazz-slipper-black-w
UGG;UGG Classic Mini II Boot;UGG Classic Mini II Boot Chestnut (Women's);2022-02-01;90 CHF;https://stockx.com/ugg-classic-mini-ii-boot-chestnut-w
Timberland;UGG Tasman Slipper;UGG Tasman Slipper Goat (Women's);2020-03-14;116 CHF;https://stockx.com/ugg-tasman-slipper-goat
Crocs;Timberland 6\;Timberland 6\;2019-01-05;119 CHF;https://stockx.com/timberland-6-inch-premium-waterproof-wheat
UGG;Crocs Classic Cozzzy Sandal;Crocs Classic Cozzzy Sandal McDonald's Grimace;2023-11-14;62 CHF;https://stockx.com/crocs-classic-cozzzy-sandal-mcdonalds-grimace
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Grey (Women's);2020-01-01;111 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-grey-w
Crocs;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Antilope (Women's);2021-11-01;119 CHF;https://stockx.com/ugg-classic-ultra-mini-antilope-w
UGG;Crocs Pollex Clog;Crocs Pollex Clog by Salehe Bembury Sasquatch;2022-11-10;107 CHF;https://stockx.com/crocs-pollex-clog-by-salehe-bembury-sasquatch
UGG;UGG Tasman Slipper;UGG Tasman Slipper Burnt Olive (Women's);2021-11-01;124 CHF;https://stockx.com/ugg-tasman-slipper-burnt-olive-w
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Smoke Plume (Women's);--;147 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-smoke-plume-womens
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Black (Women's);2020-01-01;111 CHF;https://stockx.com/ugg-classic-ultra-mini-black-w
UGG;UGG Tasman Slipper;UGG Tasman Slipper Sand TNL (Women's);2023-09-01;148 CHF;https://stockx.com/ugg-tasman-slipper-sand-tnl-womens
Crocs;UGG Classic Ultra Mini Platform Boot;UGG Classic Ultra Mini Platform Boot Mustard Seed (Women's);2023-09-01;156 CHF;https://stockx.com/ugg-classic-ultra-mini-platform-mustard-seed-womens
UGG;Crocs Pollex Clog;Crocs Pollex Clog by Salehe Bembury Niagara;2023-07-20;74 CHF;https://stockx.com/crocs-pollex-clog-by-salehe-bembury-niagara
UGG;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Sand (Women's);2020-01-01;154 CHF;https://stockx.com/ugg-classic-ultra-mini-boot-sand-w
Timberland;UGG Tasman Slipper;UGG Tasman Slipper Burnt Cedar (Women's);2023-08-29;139 CHF;https://stockx.com/ugg-tasman-slipper-burnt-cedar-womens
Crocs;Timberland 6\;Timberland 6\;2018-01-01;124 CHF;https://stockx.com/timberland-6-black-nubuck
UGG;Crocs Pollex Clog;Crocs Pollex Clog by Salehe Bembury Horchata;2023-06-15;84 CHF;https://stockx.com/crocs-pollex-clog-by-salehe-bembury-horchata
UGG;UGG Tasman Slipper;UGG Tasman Slipper Dark Grey (Women's);2020-03-14;124 CHF;https://stockx.com/ugg-tasman-slipper-dark-grey-w
UGG;UGG Tasman Slipper;UGG Tasman Slipper Dark Grey;2020-03-14;104 CHF;https://stockx.com/ugg-tasman-slipper-dark-grey
Crocs;UGG Neumel Platform Chelsea Boot;UGG Neumel Platform Chelsea Boot Chestnut (Women's);2022-10-19;172 CHF;https://stockx.com/ugg-neumel-platform-chelsea-boot-chestnut-w
UGG;Crocs Classic Clog;Crocs Classic Clog Lightning McQueen (TD);2023-08-17;58 CHF;https://stockx.com/crocs-classic-clog-lightning-mcqueen-td
Crocs;UGG Tasman Slipper;UGG Tasman Slipper Pink Glow (Women's);2023-08-29;147 CHF;https://stockx.com/ugg-tasman-slipper-pink-glow-womens
UGG;Crocs Classic Cowboy Boot;Crocs Classic Cowboy Boot Black;2023-10-23;104 CHF;https://stockx.com/crocs-classic-cowboy-boot-black
UGG;UGG Mini Bailey Bow II;UGG Mini Bailey Bow II Chestnut (Women's);2022-01-01;117 CHF;https://stockx.com/ugg-mini-bailey-bow-ii-chestnut-w
UGG;UGG Tasman Slipper;UGG Tasman Slipper Dusted Cocoa;2023-08-29;104 CHF;https://stockx.com/ugg-tasman-slipper-dusted-cocoa
UGG;UGG Class Ultra Mini;UGG Class Ultra Mini Chestnut (Kids);2023-01-27;116 CHF;https://stockx.com/ugg-class-ultra-mini-chestnut-kids
Birkenstock;UGG Classic Mini Platform Boot;UGG Classic Mini Platform Boot Chestnut (Women's);2020-01-01;114 CHF;https://stockx.com/ugg-classic-mini-platform-boot-chestnut-w
UGG;Birkenstock London Braided;Birkenstock London Braided Kith Taupe;2023-12-01;448 CHF;https://stockx.com/birkenstock-braided-london-kith-taupe
UGG;UGG Tasman Slipper;UGG Tasman Slipper Palace Burnt Olive;2023-12-01;299 CHF;https://stockx.com/ugg-tasman-slipper-palace-burnt-olive
UGG;UGG Neumel Boot;UGG Neumel Boot Black;2022-02-01;114 CHF;https://stockx.com/ugg-neumel-boot-black
UGG;UGG Neumel Boot;UGG Neumel Boot Chestnut;2022-02-01;108 CHF;https://stockx.com/ugg-neumel-boot-chestnut
Birkenstock;UGG Fluff Yeah Slide;UGG Fluff Yeah Slide Black (Women's);2021-06-01;88 CHF;https://stockx.com/ugg-fluff-yeah-slide-black-w
