Nike;Jordan 11 Retro;Jordan 11 Retro DMP Gratitude (2023);2023-11-14;194 CHF;https://stockx.com/air-jordan-11-retro-dmp-defining-moments-2023
UGG;Nike Kobe 6 Protro;Nike Kobe 6 Protro Reverse Grinch;2023-12-16;369 CHF;https://stockx.com/nike-kobe-6-protro-reverse-grinch
Nike;UGG Tasman Slipper;UGG Tasman Slipper Palace Chestnut;2023-12-01;286 CHF;https://stockx.com/ugg-tasman-slipper-palace-chestnut
Lanvin;Nike Air More Uptempo 96;Nike Air More Uptempo 96 Action Grape;2022-08-27;89 CHF;https://stockx.com/nike-air-more-uptempo-action-grape
OFF-WHITE;Lanvin Leather Curb;Lanvin Leather Curb White Ivory;2021-07-01;418 CHF;https://stockx.com/lanvin-leather-curb-white-ivory
Nike;OFF-WHITE Out Of Office OOO Low Tops;OFF-WHITE Out Of Office OOO Low Tops For Walking White Black;2021-06-01;317 CHF;https://stockx.com/off-white-ooo-low-tops-for-walking-white-black-ss21
adidas;Nike Dunk Low;Nike Dunk Low Photon Dust (Women's);2021-05-19;86 CHF;https://stockx.com/nike-dunk-low-photon-dust-w
UGG;adidas Yeezy Slide;adidas Yeezy Slide Slate Grey;2023-08-18;72 CHF;https://stockx.com/adidas-yeezy-slide-slate-grey
Nike;UGG Tasman Slipper;UGG Tasman Slipper Chestnut (Women's);2021-11-01;122 CHF;https://stockx.com/ugg-tasman-slipper-chestnut-w
UGG;Nike Dunk Low;Nike Dunk Low Grey Fog;2021-09-21;86 CHF;https://stockx.com/nike-dunk-low-grey-fog
adidas;UGG Classic Ultra Mini Boot;UGG Classic Ultra Mini Boot Chestnut (Women's);2021-11-01;97 CHF;https://stockx.com/ugg-classic-ultra-mini-chestnut-w
Nike;adidas Campus 00s;adidas Campus 00s Core Black;2023-02-17;100 CHF;https://stockx.com/adidas-campus-00s-core-black
UGG;Nike Dunk Low Retro;Nike Dunk Low Retro White Black Panda;2021-03-10;93 CHF;https://stockx.com/nike-dunk-low-retro-white-black-2021
UGG;UGG Tazz Slipper;UGG Tazz Slipper Chestnut (Women's);2021-11-01;138 CHF;https://stockx.com/ugg-tazz-slipper-chestnut-w
Nike;UGG Tasman Slipper;UGG Tasman Slipper Chestnut;2020-03-14;90 CHF;https://stockx.com/ugg-tasman-slipper-chestnut
Crocs;Nike Dunk Low;Nike Dunk Low Cacao Wow (Women's);2023-07-28;97 CHF;https://stockx.com/nike-dunk-low-cacao-wow-womens
adidas;Crocs Classic Clog;Crocs Classic Clog Lightning McQueen;2021-04-27;97 CHF;https://stockx.com/crocs-classic-clog-lightning-mcqueen
